名前,入力ノード数,収束ステップ数,x/j,ξ,流出の相対確率（エッジの2乗）の和,ターゲット位置への流出の相対確率（エッジの2乗）,規格化したターゲット位置への流出の相対確率（エッジの2乗）
正三角形,5,100000003.0,0.15,39.0,4.999999969189505,1.8806664230815777e-14,3.761332846163155e-15
正三角形,5,100000003.0,0.15,40.0,4.99999997712548,2.036061274093697e-15,4.072122548187394e-16
正三角形,5,100000003.0,0.15,41.0,5.000000011282398,3.0805590072960007e-16,6.161118014592002e-17
正三角形,5,100000003.0,0.15,42.0,5.00000002008174,1.7397760551325351e-15,3.4795521102650704e-16
正三角形,5,100000003.0,0.15,43.0,4.999999998136982,1.8436249427020337e-15,3.6872498854040675e-16
正三角形,5,100000003.0,0.15,44.0,4.999999982386966,7.616890147245621e-16,1.523378029449124e-16
正三角形,5,100000003.0,0.15,45.0,4.9999999951717005,3.6730503837491136e-17,7.346100767498227e-18
正三角形,5,100000003.0,0.15,46.0,5.00000001444784,1.625829909025098e-16,3.251659818050196e-17
正三角形,5,100000003.0,0.15,47.0,5.000000010063244,4.925105104065826e-16,9.850210208131651e-17
正三角形,5,100000003.0,0.15,48.0,4.999999989577525,4.3891991279828666e-16,8.778398255965733e-17
正三角形,5,100000003.0,0.15,49.0,4.9999999857603585,1.328431299836339e-16,2.656862599672678e-17
正三角形,5,100000003.0,0.15,50.0,5.000000005968175,6.376127473840249e-18,1.2752254947680498e-18
正三角形,5,100000003.0,0.15,51.0,5.000000019967265,1.577007266541496e-16,3.1540145330829924e-17
正三角形,5,100000003.0,0.15,52.0,5.000000046758338,8.911770511839345e-18,1.782354102367869e-18
正三角形,5,100000003.0,0.15,53.0,4.99999999139848,1.6131983441916108e-16,3.2263966883832216e-17
正三角形,5,100000003.0,0.15,54.0,4.999999991705393,2.5317218315003567e-17,5.063443663000713e-18
正三角形,5,100000003.0,0.15,55.0,5.000000009687967,2.8440984572092566e-17,5.688196914418513e-18
正三角形,5,100000003.0,0.15,56.0,5.000000013043076,1.718965995215404e-16,3.437931990430808e-17
正三角形,5,100000003.0,0.15,57.0,4.99999999411519,2.4989907627550333e-16,4.9979815255100665e-17
正三角形,5,100000003.0,0.15,58.0,4.999999983010854,1.5304398546612402e-16,3.0608797093224805e-17
正三角形,5,100000003.0,0.15,59.0,4.999999999651433,1.0535478094295498e-16,2.1070956188590996e-17
正三角形,5,100000003.0,0.15,60.0,5.000000019041371,3.047667262554038e-15,6.095334525108076e-16
正三角形,5,100000003.0,0.15,61.0,5.000000008492811,6.072349097669327e-16,1.2144698195338655e-16
正三角形,5,100000003.0,0.15,62.0,4.999999981773048,6.615213176800286e-17,1.3230426353600573e-17
正三角形,5,100000003.0,0.15,63.0,4.999999982390484,1.1681905935810547e-16,2.3363811871621096e-17
正三角形,5,100000003.0,0.15,64.0,5.000000013776105,9.141135697807982e-17,1.8282271395615963e-17
正三角形,5,100000003.0,0.15,65.0,5.000000026943593,3.1872379761528295e-17,6.374475952305659e-18
正三角形,5,100000003.0,0.15,66.0,4.999999995242478,1.1097551132010057e-17,2.2195102264020114e-18
正三角形,5,100000003.0,0.15,67.0,4.999999964785537,2.9796806957737415e-17,5.959361391547483e-18
正三角形,5,100000003.0,0.15,68.0,4.999999990086795,4.465919760769561e-17,8.931839521539122e-18
正三角形,5,100000003.0,0.15,69.0,5.000000040691461,3.432319809453536e-17,6.864639618907072e-18
正三角形,5,100000003.0,0.15,70.0,5.000000032039183,1.5441925985975225e-17,3.088385197195045e-18
正三角形,5,100000003.0,0.15,71.0,4.99999995939988,9.744563580438339e-18,1.948912716087668e-18
