名前,入力ノード数,収束ステップ数,x/j,ξ,流出の相対確率（エッジの2乗）の和,ターゲット位置への流出の相対確率（エッジの2乗）,規格化したターゲット位置への流出の相対確率（エッジの2乗）
正三角形,5,10003.0,0.1,89.0,0.00014985377447418756,1.419938414828185e-23,2.83987682965637e-24
正三角形,5,10003.0,0.1,90.0,0.00014999250143088764,2.3428617294325755e-23,4.685723458865151e-24
正三角形,5,10003.0,0.15,0.0,2.4999999999999796,0.24999999999999484,0.04999999999999897
正三角形,5,10003.0,0.15,1.0,0.9114898263181106,0.00726401975704297,0.001452803951408594
正三角形,5,10003.0,0.15,2.0,0.5820192536423494,0.0005131809828990393,0.00010263619657980786
正三角形,5,10003.0,0.15,3.0,0.42925901708834513,6.802715255379022e-05,1.3605430510758044e-05
正三角形,5,10003.0,0.15,4.0,0.3379894318677268,1.292481015716423e-05,2.584962031432846e-06
正三角形,5,10003.0,0.15,5.0,0.27598779409736585,3.113222106195265e-06,6.22644421239053e-07
正三角形,5,10003.0,0.15,6.0,0.23029744843955732,8.875914615841568e-07,1.7751829231683137e-07
正三角形,5,10003.0,0.15,7.0,0.19463255892222175,2.8683558563030344e-07,5.7367117126060685e-08
正三角形,5,10003.0,0.15,8.0,0.1655894088080181,1.0202432274921834e-07,2.0404864549843668e-08
正三角形,5,10003.0,0.15,9.0,0.14120921378400247,3.911459099039178e-08,7.822918198078357e-09
正三角形,5,10003.0,0.15,10.0,0.1203331784775577,1.5918106117490446e-08,3.183621223498089e-09
正三角形,5,10003.0,0.15,11.0,0.10226528591670253,6.798800607675127e-09,1.3597601215350255e-09
正三角形,5,10003.0,0.15,12.0,0.08657461146059195,3.021945606011775e-09,6.04389121202355e-10
正三角形,5,10003.0,0.15,13.0,0.07297353048195881,1.389024478448617e-09,2.7780489568972336e-10
正三角形,5,10003.0,0.15,14.0,0.06124417658944466,6.571240207971391e-10,1.3142480415942782e-10
正三角形,5,10003.0,0.15,15.0,0.05119776753294092,3.1882350154441276e-10,6.376470030888255e-11
正三角形,5,10003.0,0.15,16.0,0.04265578060156252,1.5821077316341397e-10,3.1642154632682794e-11
正三角形,5,10003.0,0.15,17.0,0.03544431006188329,8.012767129926996e-11,1.602553425985399e-11
正三角形,5,10003.0,0.15,18.0,0.029395117419350893,4.134777286315119e-11,8.269554572630239e-12
